!CSV A.01.01,,,,,,
!Agilent Technologies,N5234A,MY52241167,A.10.00.00,,,
!Agilent N5234A: A.10.00.00,,,,,,
!Date: Friday, December 20, 2024 12:49:26,,,,
!Source: Standard,,,,,,
,,,,,,
BEGIN CH1_DATA,,Measure,,,,Simulated
Freq(Hz),S11 Log Mag(dB),S12 Log Mag(dB),,Freq(Hz),S11 Log Mag(dB),S12 Log Mag(dB)
2,-1.706588,-31.471514,,2,-0.01885,-34.01411
2.065,-1.6504463,-30.79118,,2.025,-0.01916,-33.84296
2.13,-1.5688639,-30.530939,,2.05,-0.01947,-33.67224
2.195,-1.4838697,-30.116343,,2.075,-0.01979,-33.50192
2.26,-1.425727,-29.723753,,2.1,-0.02011,-33.33195
2.325,-1.3667828,-28.961761,,2.125,-0.02044,-33.1623
2.39,-1.3204764,-29.256693,,2.15,-0.02077,-32.99295
2.455,-1.268105,-28.168816,,2.175,-0.0211,-32.82385
2.52,-1.2070512,-28.001484,,2.2,-0.02144,-32.65497
2.585,-1.1616328,-27.699387,,2.225,-0.02179,-32.48628
2.65,-1.1029769,-27.66147,,2.25,-0.02214,-32.31776
2.715,-1.0476106,-26.696627,,2.275,-0.02249,-32.14937
2.78,-0.99802327,-26.57946,,2.3,-0.02285,-31.98107
2.845,-0.98093861,-26.809378,,2.325,-0.02322,-31.81285
2.91,-0.93607694,-25.793678,,2.35,-0.02359,-31.64468
2.975,-0.92869759,-25.912653,,2.375,-0.02397,-31.47652
3.04,-0.88083422,-25.570969,,2.4,-0.02435,-31.30835
3.105,-0.85051095,-24.885612,,2.425,-0.02475,-31.14015
3.17,-0.83446622,-24.279379,,2.45,-0.02514,-30.97188
3.235,-0.78319395,-23.578913,,2.475,-0.02555,-30.80352
3.3,-0.78691649,-23.075686,,2.5,-0.02596,-30.63506
3.365,-0.7746703,-21.355463,,2.525,-0.02638,-30.46645
3.43,-0.77215111,-20.680153,,2.55,-0.02681,-30.29768
3.495,-0.77544188,-19.812597,,2.575,-0.02725,-30.12872
3.56,-0.74106503,-18.514051,,2.6,-0.02769,-29.95955
3.625,-0.77228761,-17.519737,,2.625,-0.02814,-29.79015
3.69,-0.74147505,-17.093216,,2.65,-0.02861,-29.62049
3.755,-0.76567423,-16.431732,,2.675,-0.02908,-29.45055
3.82,-0.75362927,-15.331865,,2.7,-0.02956,-29.2803
3.885,-0.76443142,-15.174068,,2.725,-0.03005,-29.10973
3.95,-0.79153991,-14.51764,,2.75,-0.03056,-28.93882
4.015,-0.75426865,-13.982655,,2.775,-0.03107,-28.76753
4.08,-0.79035968,-13.509085,,2.8,-0.0316,-28.59584
4.145,-0.79735899,-12.972521,,2.825,-0.03213,-28.42375
4.21,-0.83355618,-12.266861,,2.85,-0.03269,-28.25122
4.275,-0.88671911,-12.259364,,2.875,-0.03325,-28.07823
4.34,-0.94057906,-11.316133,,2.9,-0.03383,-27.90476
4.405,-1.0247266,-10.30056,,2.925,-0.03442,-27.73079
4.47,-1.091364,-10.597754,,2.95,-0.03503,-27.5563
4.535,-1.2629044,-10.021974,,2.975,-0.03565,-27.38126
4.6,-1.408808,-8.1678162,,3,-0.0363,-27.20566
4.665,-1.5304236,-7.990644,,3.025,-0.03696,-27.02948
4.73,-1.7454897,-9.7854748,,3.05,-0.03763,-26.85269
4.795,-2.3906827,-6.0771899,,3.075,-0.03833,-26.67527
4.86,-2.654072,-5.0288892,,3.1,-0.03905,-26.4972
4.925,-2.6354527,-5.0197058,,3.125,-0.03979,-26.31845
4.99,-3.2844872,-4.0509119,,3.15,-0.04055,-26.13902
5.055,-3.8038385,-3.1451721,,3.175,-0.04133,-25.95887
5.12,-4.8615103,-2.0126705,,3.2,-0.04214,-25.77799
5.185,-5.8218293,-2.4211893,,3.225,-0.04298,-25.59635
5.25,-5.6970453,-2.7959123,,3.25,-0.04384,-25.41393
5.315,-7.1978889,-1.4106121,,3.275,-0.04473,-25.23072
5.38,-9.1129675,-2.1812501,,3.3,-0.04565,-25.04668
5.445,-10.764888,-2.2324715,,3.325,-0.04661,-24.8618
5.51,-11.594521,-1.300848,,3.35,-0.04759,-24.67605
5.575,-13.500947,-1.5729375,,3.375,-0.04862,-24.48941
5.64,-16.081896,-2.4545717,,3.4,-0.04968,-24.30186
5.705,-19.409729,-1.2327924,,3.425,-0.05078,-24.11338
5.77,-20.703947,-1.3244076,,3.45,-0.05192,-23.92394
5.835,-23.327581,-2.1573811,,3.475,-0.0531,-23.73352
5.9,-29.810381,-1.332756,,3.5,-0.05433,-23.54211
5.965,-32.43993,-1.3815684,,3.525,-0.05562,-23.34966
6.03,-34.891716,-1.4798341,,3.55,-0.05695,-23.15617
6.095,-31.849785,-1.4561915,,3.575,-0.05833,-22.9616
6.16,-28.797468,-1.4561915,,3.6,-0.05978,-22.76593
6.225,-26.271669,-1.1270976,,3.625,-0.06129,-22.56915
6.29,-28.55011,-1.1270976,,3.65,-0.06286,-22.37122
6.355,-29.556917,-1.3385782,,3.675,-0.0645,-22.17211
6.42,-27.959169,-1.1270976,,3.7,-0.06621,-21.97181
6.485,-28.314735,-1.3815684,,3.725,-0.068,-21.77029
6.55,-26.462505,-1.3244076,,3.75,-0.06987,-21.56752
6.615,-27.619438,-1.2327924,,3.775,-0.07183,-21.36347
6.68,-27.908224,-1.3224444,,3.8,-0.07387,-21.15813
6.745,-26.305717,-1.2327924,,3.825,-0.07602,-20.95146
6.81,-20.439135,-2.3327924,,3.85,-0.07827,-20.74343
6.875,-21.032166,-2.0620224,,3.875,-0.08063,-20.53403
6.94,-19.224127,-2.5986981,,3.9,-0.08311,-20.32321
7.005,-17.946554,-2.399287,,3.925,-0.08572,-20.11096
7.07,-15.90073,-1.8222511,,3.95,-0.08845,-19.89725
7.135,-14.080364,-2.5604613,,3.975,-0.09133,-19.68204
7.2,-14.38444,-2.0450664,,4,-0.09436,-19.46531
7.265,-12.935015,-2.0784471,,4.025,-0.09755,-19.24703
7.33,-11.302281,-2.5936599,,4.05,-0.10091,-19.02716
7.395,-10.615806,-2.214895,,4.075,-0.10445,-18.80569
7.46,-9.9334021,-1.9753929,,4.1,-0.10819,-18.58258
7.525,-9.6790857,-2.711503,,4.125,-0.11214,-18.3578
7.59,-8.4346256,-3.493566,,4.15,-0.11631,-18.13131
7.655,-6.8593187,-1.9654261,,4.175,-0.12072,-17.9031
7.72,-6.6390972,-2.8817515,,4.2,-0.12539,-17.67313
7.785,-6.285881,-3.4156287,,4.225,-0.13033,-17.44136
7.85,-5.2484455,-3.1457019,,4.25,-0.13557,-17.20778
7.915,-4.5549874,-3.3826568,,4.275,-0.14112,-16.97234
7.98,-4.0894384,-4.0565553,,4.3,-0.14701,-16.73502
8.045,-4.1399779,-4.4177938,,4.325,-0.15326,-16.49578
8.11,-3.6248381,-4.3886223,,4.35,-0.15991,-16.25461
8.175,-3.0360167,-5.4831967,,4.375,-0.16697,-16.01146
8.24,-3.1371486,-5.5102749,,4.4,-0.17449,-15.76631
8.305,-3.0158079,-5.7012906,,4.425,-0.18249,-15.51914
8.37,-2.6726887,-6.5095553,,4.45,-0.19102,-15.26991
8.435,-2.443892,-7.1773834,,4.475,-0.20011,-15.01859
8.5,-2.4418473,-6.8651052,,4.5,-0.20982,-14.76517
8.565,-2.3968918,-7.4643164,,4.525,-0.22019,-14.50962
8.63,-2.1426921,-8.4381189,,4.55,-0.23126,-14.25192
8.695,-1.9992741,-8.0491457,,4.575,-0.24311,-13.99205
8.76,-1.9696872,-8.47822,,4.6,-0.2558,-13.72999
8.825,-1.8983982,-9.1283932,,4.625,-0.26939,-13.46572
8.89,-1.8233984,-9.7189255,,4.65,-0.28396,-13.19924
8.955,-1.6308304,-9.3957062,,4.675,-0.29959,-12.93054
9.02,-1.7748749,-10.256692,,4.7,-0.31637,-12.65962
9.085,-1.7169694,-10.749445,,4.725,-0.33441,-12.38646
9.15,-1.4486767,-10.602422,,4.75,-0.35381,-12.11109
9.215,-1.5381199,-11.606534,,4.775,-0.3747,-11.83351
9.28,-1.5637246,-11.62252,,4.8,-0.39719,-11.55375
9.345,-1.5115792,-11.767381,,4.825,-0.42145,-11.27182
9.41,-1.5054393,-12.181207,,4.85,-0.44762,-10.98778
9.475,-1.5006121,-13.56977,,4.875,-0.47587,-10.70165
9.54,-1.6421201,-12.311538,,4.9,-0.50641,-10.4135
9.605,-1.6336894,-12.30547,,4.925,-0.53944,-10.12341
9.67,-1.5843589,-14.032672,,4.95,-0.57518,-9.83144
9.735,-1.5343456,-14.36403,,4.975,-0.6139,-9.5377
9.8,-1.5612174,-14.37215,,5,-0.65587,-9.24232
9.865,-1.5942699,-14.157395,,5.025,-0.70139,-8.94541
9.93,-1.5390254,-16.388847,,5.05,-0.75081,-8.64714
9.995,-1.4712133,-15.096581,,5.075,-0.80448,-8.34769
10.06,-1.4042977,-14.335208,,5.1,-0.86281,-8.04725
10.125,-1.2712286,-16.070305,,5.125,-0.92625,-7.74607
10.19,-1.1918843,-15.434245,,5.15,-0.99528,-7.44441
10.255,-1.1278733,-15.578532,,5.175,-1.07043,-7.14255
10.32,-1.1133748,-16.099453,,5.2,-1.15227,-6.84082
10.385,-1.0792836,-16.953577,,5.225,-1.24144,-6.5396
10.45,-1.0680441,-16.552765,,5.25,-1.33861,-6.23927
10.515,-1.058485,-16.705257,,5.275,-1.44453,-5.9403
10.58,-1.0677079,-17.65728,,5.3,-1.56001,-5.64315
10.645,-1.0729216,-17.369558,,5.325,-1.6859,-5.34835
10.71,-1.0486901,-17.223183,,5.35,-1.82313,-5.05647
10.775,-1.0484054,-17.649796,,5.375,-1.9727,-4.76811
10.84,-1.0345732,-17.891878,,5.4,-2.13567,-4.48392
10.905,-1.0375527,-17.179008,,5.425,-2.31315,-4.20456
10.97,-0.99103236,-17.638006,,5.45,-2.50632,-3.93075
11.035,-1.0070682,-17.594746,,5.475,-2.71644,-3.66319
11.1,-1.0113593,-17.188755,,5.5,-2.94478,-3.40263
11.165,-1.0200342,-17.407568,,5.525,-3.19268,-3.14979
11.23,-1.0325855,-17.350544,,5.55,-3.46153,-2.9054
11.295,-1.0333904,-17.015984,,5.575,-3.75273,-2.67016
11.36,-1.0329558,-17.070047,,5.6,-4.06772,-2.44473
11.425,-1.0386164,-17.409296,,5.625,-4.40794,-2.2297
11.49,-1.0377274,-16.723303,,5.65,-4.77487,-2.02562
11.555,-1.0744615,-16.816471,,5.675,-5.16997,-1.83294
11.62,-1.1096678,-17.172638,,5.7,-5.59473,-1.65202
11.685,-1.1441895,-16.939585,,5.725,-6.05064,-1.48311
11.75,-1.1504699,-16.121862,,5.75,-6.53922,-1.32637
11.815,-1.1934534,-16.997757,,5.775,-7.06204,-1.18181
11.88,-1.2518762,-17.044376,,5.8,-7.62071,-1.04935
11.945,-1.2776392,-15.524168,,5.825,-8.21696,-0.92879
12.01,-1.3300886,-16.601902,,5.85,-8.85267,-0.81981
12.075,-1.3841665,-16.389492,,5.875,-9.52989,-0.72202
12.14,-1.4338403,-15.56663,,5.9,-10.25096,-0.6349
12.205,-1.4596615,-15.258272,,5.925,-11.01858,-0.5579
12.27,-1.517984,-15.537875,,5.95,-11.83589,-0.4904
12.335,-1.6412261,-15.068415,,5.975,-12.70666,-0.43171
12.4,-1.7305505,-13.537579,,6,-13.6354,-0.38116
12.465,-1.7922062,-13.937819,,6.025,-14.62765,-0.33801
12.53,-1.93734,-13.165849,,6.05,-15.69023,-0.30157
12.595,-2.1352756,-11.651708,,6.075,-16.83167,-0.27114
12.66,-2.4516029,-10.460025,,6.1,-18.06278,-0.24602
12.725,-2.9567981,-9.8154583,,6.125,-19.39751,-0.22557
12.79,-3.9667163,-7.744524,,6.15,-20.85415,-0.20916
12.855,-6.6841969,-4.034307,,6.175,-22.45732,-0.19623
12.92,-11.221167,-2.7770815,,6.2,-24.24106,-0.18623
12.985,-7.9145317,-6.6016712,,6.225,-26.25412,-0.17867
13.05,-4.3441043,-8.6840553,,6.25,-28.56921,-0.17312
13.115,-2.9461815,-11.8804,,6.275,-31.29927,-0.16918
13.18,-2.3454347,-14.439242,,6.3,-34.62126,-0.1665
13.245,-2.1265695,-16.177046,,6.325,-38.74587,-0.16478
13.31,-1.9966079,-18.309805,,6.35,-43.07212,-0.16377
13.375,-1.9256148,-20.87694,,6.375,-43.4784,-0.16324
13.44,-1.8696678,-22.296095,,6.4,-40.85195,-0.16304
13.505,-1.8343618,-24.471182,,6.425,-38.78731,-0.16303
13.57,-1.7832823,-26.570305,,6.45,-37.57755,-0.16312
13.635,-1.8428978,-28.69178,,6.475,-37.04286,-0.16325
13.7,-1.9204266,-30.120705,,6.5,-37.06268,-0.1634
13.765,-1.928831,-33.660538,,6.525,-37.56509,-0.16358
13.83,-2.016942,-36.95652,,6.55,-38.43714,-0.16383
13.895,-2.0874524,-40.361694,,6.575,-39.28619,-0.16423
13.96,-2.1338162,-49.010685,,6.6,-39.14148,-0.16486
14.025,-2.1919699,-51.899899,,6.625,-37.3484,-0.16586
14.09,-2.2413602,-41.720119,,6.65,-34.69786,-0.16737
14.155,-2.2953298,-38.065502,,6.675,-32.03596,-0.16955
14.22,-2.2465453,-36.358368,,6.7,-29.63275,-0.17261
14.285,-2.2398424,-36.357677,,6.725,-27.50947,-0.17675
14.35,-2.1530912,-34.387684,,6.75,-25.62927,-0.18219
14.415,-2.0321579,-33.466148,,6.775,-23.95063,-0.18918
14.48,-1.8366956,-33.444927,,6.8,-22.4385,-0.19797
14.545,-1.682698,-32.04689,,6.825,-21.06519,-0.20883
14.61,-1.5067263,-30.570688,,6.85,-19.80913,-0.22202
14.675,-1.3541929,-31.085302,,6.875,-18.65338,-0.23782
14.74,-1.3291658,-29.565054,,6.9,-17.58454,-0.25651
14.805,-1.2683845,-29.019968,,6.925,-16.59189,-0.27837
14.87,-1.2069466,-28.753546,,6.95,-15.6667,-0.30367
14.935,-1.207862,-28.33206,,6.975,-14.80182,-0.33268
15,-1.1818656,-27.675026,,7,-13.99134,-0.36565
END,,,,7.025,-13.23026,-0.40284
,,,,7.05,-12.51438,-0.44445
,,,,7.075,-11.8401,-0.49071
,,,,7.1,-11.20431,-0.54178
,,,,7.125,-10.6043,-0.59784
,,,,7.15,-10.0377,-0.65901
,,,,7.175,-9.5024,-0.72539
,,,,7.2,-8.99652,-0.79705
,,,,7.225,-8.51835,-0.87403
,,,,7.25,-8.06635,-0.95634
,,,,7.275,-7.63909,-1.04395
,,,,7.3,-7.23526,-1.13681
,,,,7.325,-6.85364,-1.23482
,,,,7.35,-6.49308,-1.33788
,,,,7.375,-6.1525,-1.44584
,,,,7.4,-5.83087,-1.55853
,,,,7.425,-5.52722,-1.67577
,,,,7.45,-5.24064,-1.79735
,,,,7.475,-4.97022,-1.92305
,,,,7.5,-4.71513,-2.05264
,,,,7.525,-4.47454,-2.18585
,,,,7.55,-4.2477,-2.32245
,,,,7.575,-4.03384,-2.46217
,,,,7.6,-3.83227,-2.60476
,,,,7.625,-3.64229,-2.74995
,,,,7.65,-3.46326,-2.89748
,,,,7.675,-3.29455,-3.0471
,,,,7.7,-3.13557,-3.19856
,,,,7.725,-2.98577,-3.35162
,,,,7.75,-2.84459,-3.50605
,,,,7.775,-2.71154,-3.66161
,,,,7.8,-2.58613,-3.8181
,,,,7.825,-2.46791,-3.97532
,,,,7.85,-2.35643,-4.13306
,,,,7.875,-2.25131,-4.29114
,,,,7.9,-2.15214,-4.4494
,,,,7.925,-2.05857,-4.60766
,,,,7.95,-1.97025,-4.76579
,,,,7.975,-1.88687,-4.92363
,,,,8,-1.80812,-5.08107
,,,,8.025,-1.73372,-5.23797
,,,,8.05,-1.66341,-5.39423
,,,,8.075,-1.59693,-5.54974
,,,,8.1,-1.53405,-5.70442
,,,,8.125,-1.47455,-5.85817
,,,,8.15,-1.41823,-6.01092
,,,,8.175,-1.36489,-6.16259
,,,,8.2,-1.31435,-6.31313
,,,,8.225,-1.26645,-6.46247
,,,,8.25,-1.22103,-6.61057
,,,,8.275,-1.17793,-6.75737
,,,,8.3,-1.13703,-6.90285
,,,,8.325,-1.09818,-7.04695
,,,,8.35,-1.06128,-7.18964
,,,,8.375,-1.02621,-7.33091
,,,,8.4,-0.99286,-7.47072
,,,,8.425,-0.96113,-7.60906
,,,,8.45,-0.93093,-7.7459
,,,,8.475,-0.90217,-7.88124
,,,,8.5,-0.87477,-8.01505
,,,,8.525,-0.84866,-8.14733
,,,,8.55,-0.82376,-8.27808
,,,,8.575,-0.8,-8.40728
,,,,8.6,-0.77733,-8.53494
,,,,8.625,-0.75568,-8.66105
,,,,8.65,-0.735,-8.7856
,,,,8.675,-0.71523,-8.90861
,,,,8.7,-0.69634,-9.03008
,,,,8.725,-0.67826,-9.14999
,,,,8.75,-0.66096,-9.26837
,,,,8.775,-0.6444,-9.38522
,,,,8.8,-0.62854,-9.50054
,,,,8.825,-0.61334,-9.61433
,,,,8.85,-0.59877,-9.72661
,,,,8.875,-0.5848,-9.83738
,,,,8.9,-0.5714,-9.94665
,,,,8.925,-0.55854,-10.05444
,,,,8.95,-0.54619,-10.16073
,,,,8.975,-0.53433,-10.26556
,,,,9,-0.52294,-10.36892
,,,,9.025,-0.51199,-10.47083
,,,,9.05,-0.50146,-10.57129
,,,,9.075,-0.49133,-10.67032
,,,,9.1,-0.48159,-10.76792
,,,,9.125,-0.47221,-10.86411
,,,,9.15,-0.46319,-10.95889
,,,,9.175,-0.4545,-11.05228
,,,,9.2,-0.44612,-11.14427
,,,,9.225,-0.43805,-11.2349
,,,,9.25,-0.43028,-11.32415
,,,,9.275,-0.42278,-11.41205
,,,,9.3,-0.41555,-11.4986
,,,,9.325,-0.40857,-11.58381
,,,,9.35,-0.40185,-11.6677
,,,,9.375,-0.39535,-11.75026
,,,,9.4,-0.38909,-11.83151
,,,,9.425,-0.38304,-11.91145
,,,,9.45,-0.3772,-11.99011
,,,,9.475,-0.37156,-12.06747
,,,,9.5,-0.36612,-12.14356
,,,,9.525,-0.36086,-12.21837
,,,,9.55,-0.35578,-12.29193
,,,,9.575,-0.35088,-12.36422
,,,,9.6,-0.34614,-12.43527
,,,,9.625,-0.34156,-12.50508
,,,,9.65,-0.33714,-12.57365
,,,,9.675,-0.33287,-12.64099
,,,,9.7,-0.32875,-12.70711
,,,,9.725,-0.32477,-12.77201
,,,,9.75,-0.32093,-12.8357
,,,,9.775,-0.31722,-12.89818
,,,,9.8,-0.31364,-12.95946
,,,,9.825,-0.31019,-13.01955
,,,,9.85,-0.30686,-13.07845
,,,,9.875,-0.30366,-13.13616
,,,,9.9,-0.30057,-13.19268
,,,,9.925,-0.29759,-13.24803
,,,,9.95,-0.29473,-13.3022
,,,,9.975,-0.29198,-13.3552
,,,,10,-0.28933,-13.40703
,,,,10.025,-0.28679,-13.4577
,,,,10.05,-0.28436,-13.50719
,,,,10.075,-0.28202,-13.55553
,,,,10.1,-0.27979,-13.60271
,,,,10.125,-0.27766,-13.64873
,,,,10.15,-0.27562,-13.69359
,,,,10.175,-0.27368,-13.7373
,,,,10.2,-0.27184,-13.77986
,,,,10.225,-0.27009,-13.82126
,,,,10.25,-0.26844,-13.8615
,,,,10.275,-0.26688,-13.90059
,,,,10.3,-0.26541,-13.93853
,,,,10.325,-0.26404,-13.97532
,,,,10.35,-0.26276,-14.01094
,,,,10.375,-0.26157,-14.04542
,,,,10.4,-0.26047,-14.07873
,,,,10.425,-0.25946,-14.11089
,,,,10.45,-0.25854,-14.14188
,,,,10.475,-0.25771,-14.17172
,,,,10.5,-0.25698,-14.20038
,,,,10.525,-0.25626,-14.21606
,,,,10.55,-0.25557,-14.23117
,,,,10.575,-0.25492,-14.24569
,,,,10.6,-0.25431,-14.25959
,,,,10.625,-0.25373,-14.27285
,,,,10.65,-0.25319,-14.28544
,,,,10.675,-0.25269,-14.29734
,,,,10.7,-0.25223,-14.30851
,,,,10.725,-0.25182,-14.31892
,,,,10.75,-0.25144,-14.32855
,,,,10.775,-0.2511,-14.33737
,,,,10.8,-0.25081,-14.34535
,,,,10.825,-0.25056,-14.35244
,,,,10.85,-0.25036,-14.35863
,,,,10.875,-0.25021,-14.36388
,,,,10.9,-0.2501,-14.36815
,,,,10.925,-0.25005,-14.37142
,,,,10.95,-0.25004,-14.37363
,,,,10.975,-0.25009,-14.37476
,,,,11,-0.25019,-14.37476
,,,,11.025,-0.25035,-14.3736
,,,,11.05,-0.25056,-14.37123
,,,,11.075,-0.25084,-14.36762
,,,,11.1,-0.25117,-14.36271
,,,,11.125,-0.25157,-14.35646
,,,,11.15,-0.25204,-14.34883
,,,,11.175,-0.25257,-14.33976
,,,,11.2,-0.25317,-14.32919
,,,,11.225,-0.25385,-14.31709
,,,,11.25,-0.25461,-14.30338
,,,,11.275,-0.25544,-14.28802
,,,,11.3,-0.25636,-14.27093
,,,,11.325,-0.25737,-14.25206
,,,,11.35,-0.25847,-14.23134
,,,,11.375,-0.25966,-14.20869
,,,,11.4,-0.26096,-14.18405
,,,,11.425,-0.26236,-14.15733
,,,,11.45,-0.26387,-14.12845
,,,,11.475,-0.2655,-14.09732
,,,,11.5,-0.26726,-14.06386
,,,,11.525,-0.26915,-14.02797
,,,,11.55,-0.27118,-13.98955
,,,,11.575,-0.27336,-13.94848
,,,,11.6,-0.2757,-13.90465
,,,,11.625,-0.2782,-13.85795
,,,,11.65,-0.28089,-13.80825
,,,,11.675,-0.28378,-13.7554
,,,,11.7,-0.28687,-13.69926
,,,,11.725,-0.29019,-13.63968
,,,,11.75,-0.29375,-13.57649
,,,,11.775,-0.29758,-13.50952
,,,,11.8,-0.30168,-13.43856
,,,,11.825,-0.3061,-13.36343
,,,,11.85,-0.31086,-13.28389
,,,,11.875,-0.31598,-13.19972
,,,,11.9,-0.32151,-13.11066
,,,,11.925,-0.32747,-13.01643
,,,,11.95,-0.33393,-12.91674
,,,,11.975,-0.34093,-12.81127
,,,,12,-0.34852,-12.69966
,,,,12.025,-0.35678,-12.58153
,,,,12.05,-0.36579,-12.45647
,,,,12.075,-0.37563,-12.32402
,,,,12.1,-0.38641,-12.18368
,,,,12.125,-0.39825,-12.03491
,,,,12.15,-0.4113,-11.87711
,,,,12.175,-0.42573,-11.70961
,,,,12.2,-0.44174,-11.53167
,,,,12.225,-0.45958,-11.34248
,,,,12.25,-0.47954,-11.14112
,,,,12.275,-0.50198,-10.9266
,,,,12.3,-0.52734,-10.69778
,,,,12.325,-0.55615,-10.45338
,,,,12.35,-0.58911,-10.19198
,,,,12.375,-0.62705,-9.91198
,,,,12.4,-0.67108,-9.61156
,,,,12.425,-0.7226,-9.28867
,,,,12.45,-0.78347,-8.94102
,,,,12.475,-0.85612,-8.56598
,,,,12.5,-0.9439,-8.16066
,,,,12.525,-1.05138,-7.72182
,,,,12.55,-1.18502,-7.24595
,,,,12.575,-1.35411,-6.72938
,,,,12.6,-1.5724,-6.16855
,,,,12.625,-1.86081,-5.56058
,,,,12.65,-2.2523,-4.90443
,,,,12.675,-2.8008,-4.20308
,,,,12.7,-3.59857,-3.46759
,,,,12.725,-4.8127,-2.72396
,,,,12.75,-6.77169,-2.02338
,,,,12.775,-10.22312,-1.45214
,,,,12.8,-17.2704,-1.1283
,,,,12.825,-17.22928,-1.16498
,,,,12.85,-9.8261,-1.60666
,,,,12.875,-6.15233,-2.39759
,,,,12.9,-4.08213,-3.42117
,,,,12.925,-2.83186,-4.56261
,,,,12.95,-2.04123,-5.74079
,,,,12.975,-1.52166,-6.90882
,,,,13,-1.16834,-8.04356
,,,,13.025,-0.92064,-9.13582
,,,,13.05,-0.74227,-10.18386
,,,,13.075,-0.61076,-11.18962
,,,,13.1,-0.51178,-12.15676
,,,,13.125,-0.43593,-13.08954
,,,,13.15,-0.37688,-13.99234
,,,,13.175,-0.33028,-14.86942
,,,,13.2,-0.29304,-15.72484
,,,,13.225,-0.26296,-16.5624
,,,,13.25,-0.23843,-17.38569
,,,,13.275,-0.21827,-18.19815
,,,,13.3,-0.20156,-19.00307
,,,,13.325,-0.18763,-19.80369
,,,,13.35,-0.17594,-20.6032
,,,,13.375,-0.16609,-21.4049
,,,,13.4,-0.15774,-22.21218
,,,,13.425,-0.15064,-23.02863
,,,,13.45,-0.14458,-23.85818
,,,,13.475,-0.13939,-24.70514
,,,,13.5,-0.13494,-25.57443
,,,,13.525,-0.13112,-26.47173
,,,,13.55,-0.12783,-27.40377
,,,,13.575,-0.12499,-28.37865
,,,,13.6,-0.12255,-29.40645
,,,,13.625,-0.12045,-30.49992
,,,,13.65,-0.11864,-31.6757
,,,,13.675,-0.11708,-32.95614
,,,,13.7,-0.11575,-34.37244
,,,,13.725,-0.11462,-35.96999
,,,,13.75,-0.11365,-37.81857
,,,,13.775,-0.11284,-40.03292
,,,,13.8,-0.11217,-42.81822
,,,,13.825,-0.11161,-46.57022
,,,,13.85,-0.11116,-51.80816
,,,,13.875,-0.1108,-53.6893
,,,,13.9,-0.11053,-48.6608
,,,,13.925,-0.11034,-44.77269
,,,,13.95,-0.11021,-42.05701
,,,,13.975,-0.11015,-40.02428
,,,,14,-0.11014,-38.41972
,,,,14.025,-0.11018,-37.10587
,,,,14.05,-0.11027,-36.00204
,,,,14.075,-0.1104,-35.05742
,,,,14.1,-0.11058,-34.23821
,,,,14.125,-0.11078,-33.52086
,,,,14.15,-0.11103,-32.88824
,,,,14.175,-0.1113,-32.32731
,,,,14.2,-0.1116,-31.8277
,,,,14.225,-0.11193,-31.38072
,,,,14.25,-0.11229,-30.97875
,,,,14.275,-0.11267,-30.61498
,,,,14.3,-0.11307,-30.2832
,,,,14.325,-0.11349,-29.97782
,,,,14.35,-0.11393,-29.69392
,,,,14.375,-0.1144,-29.42729
,,,,14.4,-0.11488,-29.17445
,,,,14.425,-0.11538,-28.93265
,,,,14.45,-0.1159,-28.69978
,,,,14.475,-0.11643,-28.47431
,,,,14.5,-0.11699,-28.25512
,,,,14.525,-0.11755,-28.04147
,,,,14.55,-0.11814,-27.83285
,,,,14.575,-0.11874,-27.6289
,,,,14.6,-0.11935,-27.4294
,,,,14.625,-0.11998,-27.2342
,,,,14.65,-0.12063,-27.04315
,,,,14.675,-0.12129,-26.85616
,,,,14.7,-0.12196,-26.67313
,,,,14.725,-0.12265,-26.49395
,,,,14.75,-0.12336,-26.31851
,,,,14.775,-0.12408,-26.1467
,,,,14.8,-0.12481,-25.97841
,,,,14.825,-0.12556,-25.81352
,,,,14.85,-0.12633,-25.6519
,,,,14.875,-0.1271,-25.49342
,,,,14.9,-0.1279,-25.33796
,,,,14.925,-0.12871,-25.18539
,,,,14.95,-0.12953,-25.03559
,,,,14.975,-0.13037,-24.88843
,,,,15,-0.13122,-24.7438
,,,,15,-0.13122,-24.7438
